regressionType,dependentVariable,independentVariable,alpha,weight,rmse_out_mean,rmse_out_std,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
linear,sic,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3,0.008,0,46.970278905324186,91.1441969448794,81.34175369750763,82.60697887467508,79.2877823857158,71.02422910325828,58.83983177871257,34.0487352179588,17.34460501516238,15.361912074545076,11.175106628466606,20.40175262682834,30.985740661535267,61.22491879952438
linear,sic,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3 + temp_dt_tm1 + temp_dt_tm2 + temp_dt_tm3 + ohc_dt_tm1 + ohc_dt_tm2 + ohc_dt_tm3,0.008,0,45.580774505511556,89.0581971219317,77.4533054244275,80.96619948735902,76.30584768105511,68.3675999874587,56.65026265536891,33.81622260235437,17.502435751091763,15.142337100203727,10.800417476025915,19.794024405554204,30.28760551763888,59.88303597760054
linear,sic,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3 + temp_dt_tm1 + temp_dt_tm2 + temp_dt_tm3 + ohc_dt_tm1 + ohc_dt_tm2 + ohc_dt_tm3 + sic_log_dt_tm1_N + sic_log_dt_tm1_NE + sic_log_dt_tm1_E + sic_log_dt_tm1_SE + sic_log_dt_tm1_S + sic_log_dt_tm1_SW + sic_log_dt_tm1_W + sic_log_dt_tm1_NW,0.008,0,45.72138471679792,89.7241407743752,79.34059616340795,81.57847898985403,77.8868641780265,67.67692576068822,55.45343102193185,33.37327817463228,16.937430837900788,14.686423903372832,11.451595282776148,20.015474046038918,30.67138604356003,59.584732199385414
linear,sic_tp1,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3,0.032,0,66.04620820950895,124.94003720667435,110.99142388506984,119.03363328079284,112.6140852399478,92.95746331310232,86.01684773687698,50.45705960488439,29.789517294241914,23.966025213039526,15.503705416188337,23.285590726178363,47.90922106340452,80.02992574038038
linear,sic_tp1,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3 + temp_dt_tm1 + temp_dt_tm2 + temp_dt_tm3 + ohc_dt_tm1 + ohc_dt_tm2 + ohc_dt_tm3,0.032,0,65.27887651734036,124.00789490179352,107.68154284305837,117.00387613576835,111.58781363030256,91.34387510790559,85.47296800663946,50.658624843051086,29.806806519901787,23.83783406484163,15.015897740048983,22.86125177712432,47.34562040799297,80.73040713144924
linear,sic_tp1,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3 + temp_dt_tm1 + temp_dt_tm2 + temp_dt_tm3 + ohc_dt_tm1 + ohc_dt_tm2 + ohc_dt_tm3 + sic_log_dt_tm1_N + sic_log_dt_tm1_NE + sic_log_dt_tm1_E + sic_log_dt_tm1_SE + sic_log_dt_tm1_S + sic_log_dt_tm1_SW + sic_log_dt_tm1_W + sic_log_dt_tm1_NW,0.016,0,64.79387332175268,124.12640194710832,112.02144174188265,116.43819423010522,112.29679756664756,90.10704484844062,83.73487512279075,47.118066037096725,28.4777018643251,22.701135153508574,14.235278898247149,21.969567179267813,47.75473945119092,80.67163776752909
linear,sic_tp2,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3,0.032,0,75.56773934545362,139.3948777883036,116.81998900003408,140.8259136047104,127.07865748092208,105.58347142717447,98.6310437682075,63.41500627061444,35.618148970131294,28.93283572801422,19.392040990712978,27.92350733365091,56.407700491081286,86.18455708018969
linear,sic_tp2,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3 + temp_dt_tm1 + temp_dt_tm2 + temp_dt_tm3 + ohc_dt_tm1 + ohc_dt_tm2 + ohc_dt_tm3,0.032,0,75.12748961688345,138.38311200937162,113.83381349563278,139.61932909952444,128.2878811039975,104.35801547417317,99.8456880159239,64.28791948053977,35.488018256783775,28.56289966696679,19.08369526040167,27.660146240886032,56.40876882233863,84.09370048543306
linear,sic_tp2,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3 + temp_dt_tm1 + temp_dt_tm2 + temp_dt_tm3 + ohc_dt_tm1 + ohc_dt_tm2 + ohc_dt_tm3 + sic_log_dt_tm1_N + sic_log_dt_tm1_NE + sic_log_dt_tm1_E + sic_log_dt_tm1_SE + sic_log_dt_tm1_S + sic_log_dt_tm1_SW + sic_log_dt_tm1_W + sic_log_dt_tm1_NW,0.032,0,74.23833986501285,137.51105813701557,116.05600497547717,140.36207919239047,126.68906972532618,102.67640748832058,97.74410148920647,61.600554954857316,34.471987831845105,28.01500942726258,17.97679914024053,26.111116028297932,54.61854815983365,84.53839996709611
linear,sic_tp3,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3,0.064,0,83.03452867096534,146.76190931706128,123.01583686390717,147.86921776532867,143.54648098310236,116.66584875453722,105.03108456457315,73.25727621877341,39.71480403812891,33.30610444357036,24.661301021283876,32.60436202851127,63.7109201951227,93.03110717474499
linear,sic_tp3,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3 + temp_dt_tm1 + temp_dt_tm2 + temp_dt_tm3 + ohc_dt_tm1 + ohc_dt_tm2 + ohc_dt_tm3,0.064,0,82.8136032750649,146.17043568131535,120.09296527437131,146.8140926980951,146.4973074295607,114.19348546345662,108.15060219146208,75.73242253422329,40.147075736443206,32.68520259622888,24.424593599441113,32.175962231669814,63.98973241500454,88.85979713082234
linear,sic_tp3,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3 + temp_dt_tm1 + temp_dt_tm2 + temp_dt_tm3 + ohc_dt_tm1 + ohc_dt_tm2 + ohc_dt_tm3 + sic_log_dt_tm1_N + sic_log_dt_tm1_NE + sic_log_dt_tm1_E + sic_log_dt_tm1_SE + sic_log_dt_tm1_S + sic_log_dt_tm1_SW + sic_log_dt_tm1_W + sic_log_dt_tm1_NW,0.064,0,81.22748644342256,144.86638118212525,119.7163534295025,148.4382364868753,144.68940192574541,113.07997369677992,104.60059216167774,73.05260307818828,39.04168848607921,32.235975286634634,23.067069496693456,29.871866962108523,58.39868449907099,88.53739181171497
linear,sic_tp4,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3,0.064,0,89.29662254345176,154.43359893752245,154.04863713291877,155.34034603818125,124.34302197900321,112.79153556944286,78.57545641059299,42.36198533596058,35.505581253887,28.96190815087098,35.50412609082412,70.96173032382973,101.19742055848418,131.96772167742563
linear,sic_tp4,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3 + temp_dt_tm1 + temp_dt_tm2 + temp_dt_tm3 + ohc_dt_tm1 + ohc_dt_tm2 + ohc_dt_tm3,0.064,0,89.396809448068,154.65564848030775,151.0453465618253,160.28219435528752,121.01374896671047,116.47717876313112,82.45798912910091,42.7737958453952,35.30016654598911,28.791896621112976,35.941305623886166,72.05224497836382,96.1891590612198,130.43668692479363
linear,sic_tp4,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3 + temp_dt_tm1 + temp_dt_tm2 + temp_dt_tm3 + ohc_dt_tm1 + ohc_dt_tm2 + ohc_dt_tm3 + sic_log_dt_tm1_N + sic_log_dt_tm1_NE + sic_log_dt_tm1_E + sic_log_dt_tm1_SE + sic_log_dt_tm1_S + sic_log_dt_tm1_SW + sic_log_dt_tm1_W + sic_log_dt_tm1_NW,0.064,0,87.47993517887801,153.021328565029,152.02684643899357,158.97975305982715,119.3149987685712,113.96081932155569,80.00375082011512,41.890369445112064,34.80283807213758,27.40133450182196,32.75438026416134,65.53137273470165,93.53190471066542,129.5608540088732
linear,sic_tp5,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3,0.064,0,94.58792258308715,161.34806463656741,159.75324822724176,163.58488318856394,134.67138925548144,114.92730316232165,83.53488095210727,44.58349387557977,37.10622443629337,32.47848426955416,38.70920194708358,77.98530334990616,109.18569538295205,138.53496294996086
linear,sic_tp5,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3 + temp_dt_tm1 + temp_dt_tm2 + temp_dt_tm3 + ohc_dt_tm1 + ohc_dt_tm2 + ohc_dt_tm3,0.064,0,95.27309366699315,162.47979390145952,154.74002243980553,168.70853286685568,133.79854488081133,120.28965119801099,88.84485877361887,45.02391131261493,37.157229017511675,32.43122393447841,39.78292450435249,78.92540333915579,105.67681408089034,137.8980076558117
linear,sic_tp5,time + sin + cos + sic_log_dt_tm1 + sic_log_dt_tm2 + sic_log_dt_tm3 + temp_dt_tm1 + temp_dt_tm2 + temp_dt_tm3 + ohc_dt_tm1 + ohc_dt_tm2 + ohc_dt_tm3 + sic_log_dt_tm1_N + sic_log_dt_tm1_NE + sic_log_dt_tm1_E + sic_log_dt_tm1_SE + sic_log_dt_tm1_S + sic_log_dt_tm1_SW + sic_log_dt_tm1_W + sic_log_dt_tm1_NW,0.064,0,93.34535728270339,160.86039409234718,156.2547038106133,167.33515731367075,131.9556313941686,118.46565007386465,87.36220493611066,44.24441933784147,36.714040965536434,30.97590872284752,36.17383863654646,72.20062684425541,102.22206561675048,136.2400397402348
